Video,Total Views
Luis Fonsi - Despacito ft. Daddy Yankee,"8,669,535,825"
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,595,015,426"
Ed Sheeran - Shape of You (Official Music Video),"6,423,961,815"
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"5,500,003,713"
PSY - GANGNAM STYLE(강남스타일) M/V,"5,494,771,725"
Crazy Frog - Axel F (Official Video),"5,070,365,475"
"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records]","4,988,390,880"
श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,"4,429,925,977"
Maroon 5 - Sugar (Official Music Video),"4,198,406,054"
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),"4,176,655,547"
OneRepublic - Counting Stars,"4,128,181,184"
Katy Perry - Roar,"4,111,301,481"
Katy Perry - Dark Horse ft. Juicy J,"3,926,981,429"
Justin Bieber - Sorry (PURPOSE : The Movement),"3,926,653,499"
Ed Sheeran - Perfect (Official Music Video),"3,898,135,870"
Ed Sheeran - Thinking Out Loud (Official Music Video),"3,856,979,790"
Passenger | Let Her Go (Official Video),"3,786,466,787"
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),"3,786,394,422"
Alan Walker - Faded,"3,779,911,686"
Major Lazer & DJ Snake - Lean On (feat. MØ) [Official Music Video],"3,739,785,438"
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona","3,649,864,087"
The Gummy Bear Song - Long English Version,"3,606,586,588"
Taylor Swift - Blank Space,"3,598,968,260"
Taylor Swift - Shake It Off,"3,542,602,240"
FROZEN | Let It Go Sing-along | Official Disney UK,"3,493,034,884"
"J Balvin, Willy William - Mi Gente (Official Video)","3,457,091,795"
Justin Bieber - Baby ft. Ludacris,"3,333,288,541"
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"3,280,077,001"
The Chainsmokers - Closer (Lyric) ft. Halsey,"3,200,003,747"
Adele - Hello (Official Music Video),"3,192,062,858"
Dua Lipa - New Rules (Official Music Video),"3,119,026,801"
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],"3,041,811,267"
Shakira - Chantaje (Official Video) ft. Maluma,"3,034,290,794"
twenty one pilots: Stressed Out [OFFICIAL VIDEO],"3,030,865,949"
"Pedro Capó, Farruko - Calma (Remix - Official Video)","2,976,732,785"
Daddy Yankee & Snow - Con Calma (Video Oficial),"2,966,252,867"
Eminem - Love The Way You Lie ft. Rihanna,"2,949,366,820"
