Video,Total Views,Artist,Title,Total Views_normalized
Luis Fonsi - Despacito ft. Daddy Yankee,8669535825,Luis Fonsi,Despacito ft. Daddy Yankee,1.0
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,6595015426,Wiz Khalifa,See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,0.7502128846800366
Ed Sheeran - Shape of You (Official Music Video),6423961815,Ed Sheeran,Shape of You (Official Music Video),0.7296168047006113
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,5500003713,Mark Ronson,Uptown Funk (Official Video) ft. Bruno Mars,0.6183656311347405
PSY - GANGNAM STYLE(강남스타일) M/V,5494771725,PSY,GANGNAM STYLE(강남스타일) M/V,0.6177356623040948
Crazy Frog - Axel F (Official Video),5070365475,Crazy Frog,Axel F (Official Video),0.5666341098863096
"El Chombo, Dancing Green Alien - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records]",4988390880,"El Chombo, Dancing Green Alien",Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records],0.5567637814844087
श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,4429925977,श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,,0.48952060701620076
Maroon 5 - Sugar (Official Music Video),4198406054,Maroon 5,Sugar (Official Music Video),0.461643949966626
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),4176655547,Shakira,Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),0.4590250331302837
OneRepublic - Counting Stars,4128181184,OneRepublic,Counting Stars,0.453188372615121
Katy Perry - Roar,4111301481,Katy Perry,Roar,0.4511559354687521
Katy Perry - Dark Horse ft. Juicy J,3926981429,Katy Perry,Dark Horse ft. Juicy J,0.4289624809686666
Justin Bieber - Sorry (PURPOSE : The Movement),3926653499,Justin Bieber,Sorry (PURPOSE : The Movement),0.42892299584778454
Ed Sheeran - Perfect (Official Music Video),3898135870,Ed Sheeran,Perfect (Official Music Video),0.4254892690514085
